các | loài
toàn không | đề
không đề | cập
đề cập | ngân
cập ngân | hàng
ngân hàng | lưu
hàng lưu | ký
ngay | một
ngay một | quan
một quan | chức
quan chức | của
chức của | ủy
của ủy | ban
ủy ban | chứng
ban chứng | khoán
chứng khoán | nhà
khoán nhà | nước
nhà nước | cũng
nước cũng | tỏ
cũng tỏ | ra
tỏ ra | bất
ra bất | ngờ
bất ngờ | khi
ngờ khi | thấy
khi thấy | quyết
thấy quyết | định
quyết định | 1550
định 1550 | không
1550 không | đề
không đề | cập
đề cập | việc
cập việc | quản
việc quản | lý
quản lý | ngoại
lý ngoại | hối
ngoại hối | đối
hối đối | với
đối với | nhà
với nhà | đầu
nhà đầu | tư
đầu tư | nước
tư nước | ngoài
nước ngoài | mở
ngoài mở | tài
mở tài | khoản
tài khoản | lưu
khoản lưu | ký
lưu ký | tại
ký tại | ngân
tại ngân | hàng
ngân hàng | lưu
hàng lưu | ký
lưu ký | nước
ký nước | ngoài
nước ngoài | nhưng
ngoài nhưng | càng
nhưng càng | níu
càng níu | kéo
níu kéo | thì
kéo thì | càng
thì càng | khiến
càng khiến | anh
khiến anh | ta
anh ta | xa
ta xa | cách
xa cách | tôi
cách tôi | thêm
mọi | người
mọi người | xung
người xung | quanh
xung quanh | đều
quanh đều | khuyên
đều khuyên | tôi
khuyên tôi | hết
tôi hết | lời
hết lời | nhưng
lời nhưng | tôi
nhưng tôi | bỏ
tôi bỏ | ngoài
bỏ ngoài | tai
ngoài tai | hết
tai hết | chỉ
hết chỉ | mong
chỉ mong | sao
mong sao | giữ
sao giữ | được
giữ được | anh
được anh | ta
anh ta | là
ta là | đủ
là đủ | rồi
đủ rồi | bush
rồi bush | không
bush không | dịch
không dịch | chuyển
dịch chuyển | mục
chuyển mục | đích
mục đích | cuối
đích cuối | cùng
cuối cùng | của
cùng của | cải
của cải | cách
cải cách | phải
cách phải | là
phải là | chất
là chất | lượng
chất lượng | xét
lượng xét | xử
xét xử | từ
xử từ | khoảng
từ khoảng | gần
khoảng gần | 10
gần 10 | 000
10 000 | bài
000 bài | hát
bài hát | nằm
hát nằm | im
nằm im | lìm
im lìm | trong
lìm trong | những
trong những | chiếc
những chiếc | đĩa
chiếc đĩa | họ
đĩa họ | phải
họ phải | chọn
phải chọn | ra
chọn ra | những
ra những | bài
những bài | phù
bài phù | hợp
phù hợp | với
hợp với | phong
với phong | cách
phong cách | nhu
cách nhu | cầu
nhu cầu | của
cầu của | khán
của khán | giả
khán giả | mỗi
giả mỗi | đêm
mỗi đêm | thậm
đêm thậm | chí
thậm chí | là
chí là | mỗi
là mỗi | giờ
mỗi giờ | tuy
giờ tuy | nhiên
tuy nhiên | việc
nhiên việc | tìm
việc tìm | ra
tìm ra | nguyên
ra nguyên | nhân
nguyên nhân | và
nhân và | cách
và cách | khắc
cách khắc | phục
khắc phục | thường
phục thường | không
thường không | quá
không quá | khó
quá khó | khăn
khó khăn | sau
khăn sau | này
sau này | bọ
này bọ | mới
bọ mới | hiểu
mới hiểu | rằng
hiểu rằng | nước
rằng nước | trong
nước trong | hệ
trong hệ | thống
hệ thống | đường
thống đường | ống
đường ống | của
ống của | cả
của cả | đất
cả đất | nước
đất nước | này
nước này | đã
này đã | được
đã được | xử
được xử | lý
xử lý | tiệt
lý tiệt | trùng
tiệt trùng | nên
trùng nên | quý
nên quý | khách
quý khách | cứ
khách cứ | thoải
cứ thoải | mái
thoải mái | sử
mái sử | dụng
từ | nhà
từ nhà | quê
nhà quê | vào
quê vào | sống
vào sống | ở
sống ở | đà
ở đà | nẵng
đà nẵng | thành
nẵng thành | phố
thành phố | đang
phố đang | nổi
đang nổi | của
nổi của | miền
của miền | trung
miền trung | bọ
trung bọ | đã
bọ đã | rất
đã rất | sợ
rất sợ | mỗi
sợ mỗi | khi
mỗi khi | ra
khi ra | đường
ra đường | thấy
đường thấy | xe
thấy xe | cộ
xe cộ | đi
cộ đi | lại
đi lại | nghênh
lại nghênh | ngang
nghênh ngang | sau
ngang sau | 60
sau 60 | ngày
60 ngày | thi
ngày thi | công
thi công | sáng
công sáng | nay
sáng nay | trạm
nay trạm | cấp
trạm cấp | nước
cấp nước | với
nước với | kinh
với kinh | phí
kinh phí | 2
phí 2 | 5
2 5 | tỷ
5 tỷ | đồng
tỷ đồng | đã
đồng đã | được
đã được | khánh
được khánh | thành
khánh thành | với
thành với | những
với những | sự
những sự | thay
sự thay | người
thay người | hợp
người hợp | lý
hợp lý | trong
lý trong | hiệp
trong hiệp | hai
hiệp hai | albacete
hai albacete | là
albacete là | đội
là đội | nắm
đội nắm | thế
nắm thế | chủ
thế chủ | động
chủ động | nhưng
động nhưng | bài
nhưng bài | tấn
bài tấn | công
tấn công | đơn
công đơn | giản
đơn giản | với
giản với | những
với những | pha
những pha | chuyền
pha chuyền | sâu
chuyền sâu | cho
sâu cho | tiền
cho tiền | đạo
tiền đạo | đánh
đạo đánh | đầu
đánh đầu | không
đầu không | thể
không thể | biến
thể biến | thành
biến thành | bàn
thành bàn | thắng
bàn thắng | ông
thắng ông | hy
ông hy | vọng
hy vọng | sẽ
vọng sẽ | có
sẽ có | thể
có thể | giảm
thể giảm | dần
giảm dần | số
dần số | quân
số quân | ba
quân ba | lan
ba lan | từ
lan từ | năm
từ năm | 2005
năm 2005 | khi
2005 khi | tình
khi tình | hình
tình hình | iraq
hình iraq | đã
iraq đã | ổn
đã ổn | định
ổn định | hơn
đương | kim
đương kim | thủ
kim thủ | tướng
thủ tướng | ba
tướng ba | lan
ba lan | được
lan được | đa
được đa | số
đa số | nhìn
số nhìn | nhận
nhìn nhận | là
nhận là | một
là một | người
một người | có
người có | năng
có năng | lực
năng lực | lãnh
lực lãnh | đạo
lãnh đạo | và
đạo và | không
và không | dính
không dính | líu
dính líu | tới
líu tới | vụ
tới vụ | bê
vụ bê | bối
bê bối | nào
bối nào | do
nào do | thiếu
do thiếu | nhà
thiếu nhà | xí
nhà xí | sạch
xí sạch | sẽ
sạch sẽ | trẻ
sẽ trẻ | em
trẻ em | tại
em tại | các
tại các | vùng
các vùng | nông
vùng nông | thôn
nông thôn | ở
thôn ở | các
ở các | nước
các nước | đang
nước đang | phát
đang phát | triển
phát triển | rất
triển rất | dễ
rất dễ | bị
dễ bị | mắc
bị mắc | các
mắc các | bệnh
các bệnh | đường
bệnh đường | tiêu
đường tiêu | hóa
tiêu hóa | và
hóa và | truyền
và truyền | nhiễm
ở | trận
ở trận | đấu
trận đấu | khác
đấu khác | thái
khác thái | lan
thái lan | đã
lan đã | đè
đã đè | bẹp
đè bẹp | malaysia
bẹp malaysia | với
malaysia với | tỷ
với tỷ | số
tỷ số | 4
số 4 | 0
4 0 | những
0 những | cánh
những cánh | tay
cánh tay | run
tay run | rẩy
run rẩy | mỗi
rẩy mỗi | lần
mỗi lần | ông
lần ông | xuất
ông xuất | hiện
xuất hiện | trước
hiện trước | ống
trước ống | kính
ống kính | là
kính là | dấu
là dấu | hiệu
dấu hiệu | cho
hiệu cho | thấy
cho thấy | ông
thấy ông | đã
ông đã | mắc
đã mắc | bệnh
mắc bệnh | nặng
rối | loạn
rối loạn | huyết
loạn huyết | mạch
huyết mạch | 18
mạch 18 | người
18 người | chết
người chết | khi
chết khi | ôtô
khi ôtô | của
ôtô của | họ
của họ | va
họ va | phải
va phải | đá
phải đá | đang
đá đang | rơi
đang rơi | từ
rơi từ | trên
từ trên | núi
trên núi | xuống
núi xuống | với
xuống với | chị
với chị | chuyện
chị chuyện | của
chuyện của | em
của em | không
em không | phải
không phải | là
phải là | một
là một | lỗi
một lỗi | lầm
lỗi lầm | lớn
lầm lớn | hay
lớn hay | là
hay là | em
là em | đang
em đang | phản
đang phản | bội
phản bội | chồng
bội chồng | hoặc
chồng hoặc | tính
hoặc tính | toán
tính toán | trong
toán trong | chuyện
trong chuyện | kết
chuyện kết | hôn
kết hôn | của
hôn của | em
của em | ban
em ban | tổ
ban tổ | chức
tổ chức | đã
chức đã | trao
đã trao | giải
trao giải | nhất
giải nhất | cho
nhất cho | hồ
cho hồ | hải
hồ hải | phong
hải phong | tp
phong tp | hcm
tp hcm | cùng
hcm cùng | 15
cùng 15 | giải
15 giải | thưởng
giải thưởng | cho
thưởng cho | các
cho các | tác
các tác | giả
tác giả | khác
trong | khi
trong khi | đó
khi đó | quân
đó quân | đội
quân đội | mỹ
đội mỹ | nói
mỹ nói | rằng
nói rằng | 60
rằng 60 | chiến
60 chiến | binh
chiến binh | nước
binh nước | ngoài
nước ngoài | bị
ngoài bị | giam
bị giam | tại
giam tại | abu
tại abu | ghraib
abu ghraib | ở
ghraib ở | baghdad
ở baghdad | và
baghdad và | trại
và trại | bucca
trại bucca | ở
bucca ở | phía
ở phía | nam
phía nam | iraq
các | quan
các quan | chức
quan chức | mỹ
chức mỹ | từ
mỹ từ | lâu
từ lâu | đã
lâu đã | cho
đã cho | rằng
cho rằng | tình
rằng tình | trạng
tình trạng | bạo
trạng bạo | lực
bạo lực | tại
lực tại | iraq
tại iraq | là
iraq là | do
là do | các
do các | chiến
các chiến | binh
chiến binh | nước
binh nước | ngoài
nước ngoài | kích
ngoài kích | động
kích động | tình
động tình | cảm
tình cảm | vợ
cảm vợ | chồng
vợ chồng | không
chồng không | mặn
không mặn | mà
mặn mà | và
mà và | cứ
và cứ | nhạt
cứ nhạt | dần
càng | ngày
càng ngày | t
thấy | mình
thấy mình | như
mình như | người
như người | thừa
người thừa | trong
thừa trong | nhà
trong nhà | vợ
nhà vợ | hãng
vợ hãng | này
hãng này | cắt
này cắt | đoạn
cắt đoạn | biên
đoạn biên | tập
biên tập | lại
tập lại | phim
lại phim | và
phim và | ký
và ký | hợp
ký hợp | đồng
hợp đồng | phát
đồng phát | hành
phát hành | phim
hành phim | tại
phim tại | mỹ
tại mỹ | với
mỹ với | magnolia
với magnolia | picture
magnolia picture | anh
picture anh | chinh
anh chinh | thay
chinh thay | dép
thay dép | đưa
dép đưa | đôi
đưa đôi | dép
đôi dép | da
dép da | mình
da mình | vẫn
mình vẫn | đi
vẫn đi | từ
đi từ | lúc
từ lúc | nãy
lúc nãy | cho
nãy cho | cô
cho cô | gái
cô gái | rồi
gái rồi | lấy
rồi lấy | một
lấy một | ít
một ít | nước
ít nước | đổ
nước đổ | xuống
đổ xuống | nền
xuống nền | nhà
nền nhà | hướng
nhà hướng | dẫn
hướng dẫn | cách
dẫn cách | cầm
cách cầm | bóng
cầm bóng | điện
bóng điện | theo
điện theo | đúng
theo đúng | vị
đúng vị | trí
vị trí | tay
trí tay | phải
tay phải | một
phải một | nhóm
một nhóm | cảnh
nhóm cảnh | sát
cảnh sát | cơ
sát cơ | động
cơ động | chặn
động chặn | xe
chặn xe | đánh
xe đánh | người
đánh người | đã
người đã | đi
đã đi | trình
đi trình | diễn
trình diễn | ở
diễn ở | nhiều
ở nhiều | nước
nhiều nước | chị
nước chị | có
chị có | cảm
có cảm | nhận
cảm nhận | gì
nhận gì | về
gì về | người
về người | mẫu
người mẫu | nước
mẫu nước | ngoài
nước ngoài | năm
ngoài năm | ngoái
năm ngoái | cảnh
ngoái cảnh | sát
cảnh sát | nước
sát nước | này
nước này | cũng
này cũng | đã
cũng đã | tịch
đã tịch | thu
tịch thu | được
thu được | hơn
được hơn | 50
hơn 50 | tấn
50 tấn | cocaine
tấn cocaine | 8
cocaine 8 | cầu
8 cầu | thủ
cầu thủ | được
thủ được | ông
được ông | tavares
ông tavares | chọn
tavares chọn | gồm
chọn gồm | thủ
gồm thủ | môn
thủ môn | văn
môn văn | phúc
văn phúc | tiền
phúc tiền | vệ
tiền vệ | hoàng
vệ hoàng | vũ
hoàng vũ | tiền
vũ tiền | đạo
tiền đạo | tấn
đạo tấn | linh
tấn linh | của
linh của | gia
của gia | lai
gia lai | và
lai và | duy
và duy | lân
duy lân | văn
lân văn | lập
văn lập | nguyên
lập nguyên | thông
nguyên thông | đình
thông đình | vinh
đình vinh | minh
vinh minh | hiếu
minh hiếu | của
hiếu của | u21
của u21 | gđt
trong | trận
trong trận | chung
trận chung | kết
chung kết | dưới
kết dưới | trời
dưới trời | mưa
trời mưa | hôm
mưa hôm | qua
hôm qua | u21
qua u21 | ngân
u21 ngân | hàng
ngân hàng | đông
hàng đông | á
đông á | đã
á đã | xuất
đã xuất | sắc
xuất sắc | lên
sắc lên | ngôi
lên ngôi | vô
ngôi vô | địch
vô địch | sau
địch sau | khi
sau khi | vượt
khi vượt | qua
vượt qua | gạch
qua gạch | đồng
gạch đồng | tâm
đồng tâm | nhờ
tâm nhờ | bàn
nhờ bàn | thắng
bàn thắng | vàng
thắng vàng | ở
vàng ở | phút
ở phút | 110
phút 110 | của
110 của | tiền
của tiền | đạo
tiền đạo | đặng
đạo đặng | hậu
đặng hậu | đan
hậu đan | vì
đan vì | vậy
vì vậy | giải
vậy giải | pháp
giải pháp | theo
pháp theo | họ
theo họ | là
họ là | viện
là viện | đến
viện đến | công
đến công | nghệ
công nghệ | nano
nghệ nano | nghệ
nano nghệ | thuật
nghệ thuật | điều
thuật điều | khiển
điều khiển | vật
khiển vật | chất
vật chất | đạt
chất đạt | đến
đạt đến | cấp
đến cấp | độ
cấp độ | phân
độ phân | tử
phân tử | thường
tử thường | thì
thường thì | nhạc
thì nhạc | sĩ
nhạc sĩ | dùng
sĩ dùng | nước
dùng nước | chấm
nước chấm | là
chấm là | nước
là nước | tương
nước tương | và
tương và | chỉ
và chỉ | ăn
chỉ ăn | được
ăn được | nước
được nước | mắm
nước mắm | do
chính | tay
chính tay | mình
tay mình | pha
mình pha | chế
pha chế | với
chế với | bí
với bí | quyết
bí quyết | muốn
quyết muốn | pha
muốn pha | nước
pha nước | mắm
nước mắm | ngon
mắm ngon | phải
nấu | nước
nấu nước | mắm
nước mắm | ấy
mắm ấy | trước
ấy trước | khi
trước khi | pha
nhạc | sĩ
nhạc sĩ | cho
sĩ cho | biết
cho biết | bữa
biết bữa | ăn
bữa ăn | của
ăn của | tôi
của tôi | đơn
tôi đơn | điệu
đơn điệu | lắm
điệu lắm | trận
lắm trận | đấu
trận đấu | đầu
đấu đầu | tiên
đầu tiên | của
tiên của | chú
của chú | sam
chú sam | tại
sam tại | world
tại world | cup
world cup | 2006
cup 2006 | sẽ
2006 sẽ | là
sẽ là | trận
là trận | gặp
trận gặp | đt
gặp đt | czech
đt czech | ngày
czech ngày | 12
ngày 12 | 6
12 6 | sau
6 sau | đó
sau đó | là
đó là | trận
là trận | gặp
trận gặp | đội
gặp đội | tuyển
đội tuyển | italia
tuyển italia | ngày
italia ngày | 17
ngày 17 | 6
17 6 | và
6 và | cuối
và cuối | cùng
cuối cùng | là
cùng là | trận
là trận | gặp
trận gặp | đội
gặp đội | tuyển
đội tuyển | ghana
tuyển ghana | ngày
ghana ngày | 22
ngày 22 | 6
22 6 | cơ
6 cơ | sở
cơ sở | giết
sở giết | mổ
giết mổ | gia
mổ gia | cầm
gia cầm | buôn
cầm buôn | bán
buôn bán | gia
bán gia | cầm
gia cầm | và
cầm và | sản
và sản | phẩm
sản phẩm | gia
phẩm gia | cầm
gia cầm | phải
cầm phải | đủ
phải đủ | các
đủ các | điều
các điều | kiện
điều kiện | vệ
kiện vệ | sinh
vệ sinh | thú
sinh thú | y
thú y | theo
y theo | quy
theo quy | định
quy định | trong
định trong | sợi
trong sợi | tóc
sợi tóc | có
tóc có | hơn
có hơn | 20
hơn 20 | axit
20 axit | amin
axit amin | và
amin và | hơn
và hơn | 10
hơn 10 | nguyên
10 nguyên | tố
nguyên tố | vi
tố vi | lượng
vi lượng | như
lượng như | kẽm
như kẽm | đồng
kẽm đồng | sắt
tóc | luôn
tóc luôn | đổi
luôn đổi | mới
đổi mới | thay
mới thay | thế
thay thế | nhau
thế nhau | ngoài
nhau ngoài | những
ngoài những | sự
những sự | kiện
sự kiện | rất
kiện rất | pr
rất pr | đó
pr đó | illinois
đó illinois | được
illinois được | giới
được giới | phê
giới phê | bình
phê bình | đánh
bình đánh | giá
đánh giá | rất
giá rất | cao
rất cao | có
cao có | mặt
có mặt | trong
mặt trong | hầu
trong hầu | hết
hầu hết | danh
hết danh | sách
danh sách | những
sách những | album
những album | hay
album hay | nhất
hay nhất | của
